		precision	precision	recall	recall	f1_score	f1_score
		mean	std	mean	std	mean	std
scraper	publisher						
trafilatura	iNews	99.77	0.52	99.97	0.07	99.87	0.3
trafilatura	WashingtonTimes	94.23	1.12	100.0	0.0	97.02	0.59
trafilatura	TheTelegraph	99.94	0.13	64.35	49.1	67.4	45.71
trafilatura	TheNewYorker	99.87	0.25	99.73	0.6	99.8	0.32
trafilatura	TheNation	90.25	8.57	100.0	0.0	94.7	4.75
trafilatura	TheIntercept	99.34	0.77	99.99	0.03	99.66	0.39
trafilatura	TheIndependent	66.97	39.33	99.86	0.32	73.88	33.29
trafilatura	TheGuardian	100.0	0.0	99.4	0.83	99.7	0.42
trafilatura	TheGatewayPundit	93.83	10.17	100.0	0.0	96.57	5.75
trafilatura	Reuters	85.79	8.63	85.05	28.2	83.2	19.68
trafilatura	OccupyDemocrats	89.21	3.59	100.0	0.0	94.26	2.02
trafilatura	LATimes	94.48	3.47	99.97	0.05	97.12	1.83
trafilatura	FreeBeacon	97.45	1.01	100.0	0.0	98.71	0.52
trafilatura	FoxNews	51.54	40.47	41.83	53.1	42.36	50.67
trafilatura	CNBC	97.24	3.2	100.0	0.0	98.58	1.66
trafilatura	APNews	88.57	14.83	100.0	0.0	93.35	9.3
newsplease	iNews	98.34	1.14	83.17	37.53	84.79	31.98
newsplease	WashingtonTimes	99.53	1.06	100.0	0.0	99.76	0.54
newsplease	TheTelegraph	88.57	25.56	24.03	29.23	31.88	36.42
newsplease	TheNewYorker	98.83	0.97	62.82	37.17	71.26	29.91
newsplease	TheNation	96.66	1.48	78.42	22.34	85.04	13.97
newsplease	TheIntercept	89.22	19.96	84.3	35.06	85.39	30.54
newsplease	TheIndependent	70.49	5.28	99.65	0.56	82.48	3.64
newsplease	TheGuardian	94.75	6.12	100.0	0.0	97.22	3.35
newsplease	TheGatewayPundit	94.55	10.18	100.0	0.0	96.96	5.78
newsplease	Reuters	74.81	15.86	85.3	26.1	77.86	17.95
newsplease	OccupyDemocrats	90.14	3.6	100.0	0.0	94.78	2.0
newsplease	LATimes	94.5	6.16	78.18	32.13	81.43	22.32
newsplease	FreeBeacon	100.0	0.0	100.0	0.0	100.0	0.0
newsplease	FoxNews	88.16	7.68	99.82	0.41	93.48	4.25
newsplease	CNBC	98.64	3.04	85.94	19.33	91.0	12.33
newsplease	APNews	100.0	0.0	100.0	0.0	100.0	0.0
justext	iNews	96.75	2.26	97.12	4.43	96.9	2.9
justext	WashingtonTimes	91.35	5.58	100.0	0.0	95.41	3.01
justext	TheTelegraph	77.15	43.17	71.83	40.81	74.23	41.65
justext	TheNewYorker	98.15	1.59	99.87	0.3	99.0	0.77
justext	TheNation	93.66	4.37	99.84	0.36	96.61	2.47
justext	TheIntercept	91.98	7.97	97.92	4.08	94.8	5.98
justext	TheIndependent	60.23	33.25	58.06	35.39	51.45	31.73
justext	TheGuardian	94.35	3.19	99.02	2.13	96.63	2.67
justext	TheGatewayPundit	97.2	4.86	83.34	11.62	89.49	7.91
justext	Reuters	60.06	19.64	71.92	39.74	58.59	25.97
justext	OccupyDemocrats	81.72	6.07	98.66	1.7	89.32	4.2
justext	LATimes	91.28	5.06	98.52	2.59	94.67	2.59
justext	FreeBeacon	97.12	2.11	95.97	9.01	96.29	4.25
justext	FoxNews	89.09	8.03	85.17	21.41	85.08	12.14
justext	CNBC	95.83	2.5	91.91	8.21	93.72	5.1
justext	APNews	69.69	14.44	94.52	6.73	79.26	10.57
fundus	iNews	99.93	0.16	96.94	4.54	98.37	2.47
fundus	WashingtonTimes	99.52	1.08	100.0	0.0	99.76	0.54
fundus	TheTelegraph	100.0	0.0	82.63	32.48	86.74	26.33
fundus	TheNewYorker	99.97	0.07	99.73	0.61	99.85	0.34
fundus	TheNation	100.0	0.0	100.0	0.0	100.0	0.0
fundus	TheIntercept	99.99	0.01	98.43	3.45	99.18	1.79
fundus	TheIndependent	100.0	0.0	97.9	4.7	98.89	2.48
fundus	TheGuardian	100.0	0.0	99.41	0.82	99.7	0.41
fundus	TheGatewayPundit	100.0	0.0	87.38	22.27	91.82	15.21
fundus	Reuters	99.15	1.9	84.37	30.5	88.3	23.86
fundus	OccupyDemocrats	100.0	0.0	100.0	0.0	100.0	0.0
